IndexCode,Year,Wert
VPI_1966,1966,100.0
VPI_1966,1967,104.0
VPI_1966,1968,106.9
VPI_1966,1969,110.2
VPI_1966,1970,115.0
VPI_1966,1971,120.4
VPI_1966,1972,128.0
VPI_1966,1973,137.7
VPI_1966,1974,150.8
VPI_1966,1975,163.5
VPI_1966,1976,175.5
VPI_1966,1977,185.1
VPI_1966,1978,191.7
VPI_1966,1979,198.8
VPI_1966,1980,211.4
VPI_1966,1981,225.8
VPI_1966,1982,238.1
VPI_1966,1983,246.0
VPI_1966,1984,260.0
VPI_1966,1985,268.3
VPI_1966,1986,272.8
VPI_1966,1987,276.7
VPI_1966,1988,282.0
VPI_1966,1989,289.2
VPI_1966,1990,298.6
VPI_1966,1991,308.6
VPI_1966,1992,321.0
VPI_1966,1993,332.7
VPI_1966,1994,342.5
VPI_1966,1995,350.2
VPI_1966,1996,356.7
VPI_1966,1997,361.4
VPI_1966,1998,364.7
VPI_1966,1999,366.8
VPI_1966,2000,375.4
VPI_1966,2001,385.4
VPI_1966,2002,392.3
VPI_1966,2003,397.7
VPI_1966,2004,405.9
VPI_1966,2005,415.2
VPI_1966,2006,421.2
VPI_1966,2007,430.4
VPI_1966,2008,444.2
VPI_1966,2009,446.5
VPI_1966,2010,454.5
VPI_1966,2011,469.3
VPI_1966,2012,481.0
VPI_1966,2013,490.6
VPI_1966,2014,498.5
VPI_1966,2015,503.0
VPI_1966,2016,507.5
VPI_1966,2017,518.1
VPI_1966,2018,528.4
VPI_1966,2019,536.5
VPI_1966,2020,544.3
VPI_1966,2021,559.4
VPI_1966,2022,607.2
VPI_1966,2023,654.6
VPI_1966,2024,673.9
VPI_1966,2025,697.6
VPI_1976,1976,100.0
VPI_1976,1977,105.5
VPI_1976,1978,109.3
VPI_1976,1979,113.3
VPI_1976,1980,120.5
VPI_1976,1981,128.7
VPI_1976,1982,135.7
VPI_1976,1983,140.2
VPI_1976,1984,148.1
VPI_1976,1985,152.9
VPI_1976,1986,155.5
VPI_1976,1987,157.7
VPI_1976,1988,160.7
VPI_1976,1989,164.8
VPI_1976,1990,170.2
VPI_1976,1991,175.9
VPI_1976,1992,183.0
VPI_1976,1993,189.6
VPI_1976,1994,195.2
VPI_1976,1995,199.6
VPI_1976,1996,203.3
VPI_1976,1997,205.9
VPI_1976,1998,207.9
VPI_1976,1999,209.0
VPI_1976,2000,213.9
VPI_1976,2001,219.6
VPI_1976,2002,223.5
VPI_1976,2003,226.6
VPI_1976,2004,231.2
VPI_1976,2005,236.6
VPI_1976,2006,240.0
VPI_1976,2007,245.2
VPI_1976,2008,253.1
VPI_1976,2009,254.4
VPI_1976,2010,259.0
VPI_1976,2011,267.4
VPI_1976,2012,274.1
VPI_1976,2013,279.6
VPI_1976,2014,284.1
VPI_1976,2015,286.6
VPI_1976,2016,289.2
VPI_1976,2017,295.2
VPI_1976,2018,301.1
VPI_1976,2019,305.7
VPI_1976,2020,310.1
VPI_1976,2021,318.7
VPI_1976,2022,345.9
VPI_1976,2023,373.0
VPI_1976,2024,383.9
VPI_1976,2025,397.5
VPI_1986,1986,100.0
VPI_1986,1987,101.4
VPI_1986,1988,103.4
VPI_1986,1989,106.0
VPI_1986,1990,109.5
VPI_1986,1991,113.1
VPI_1986,1992,117.7
VPI_1986,1993,121.9
VPI_1986,1994,125.6
VPI_1986,1995,128.4
VPI_1986,1996,130.8
VPI_1986,1997,132.5
VPI_1986,1998,133.7
VPI_1986,1999,134.5
VPI_1986,2000,137.6
VPI_1986,2001,141.3
VPI_1986,2002,143.8
VPI_1986,2003,145.8
VPI_1986,2004,148.8
VPI_1986,2005,152.2
VPI_1986,2006,154.4
VPI_1986,2007,157.8
VPI_1986,2008,162.8
VPI_1986,2009,163.7
VPI_1986,2010,166.6
VPI_1986,2011,172.0
VPI_1986,2012,176.3
VPI_1986,2013,179.8
VPI_1986,2014,182.7
