IndexCode,Monat,Wert
KPI_1938,1948-07,305.0
KPI_1938,1948-08,305.0
KPI_1938,1948-09,303.0
KPI_1938,1948-10,349.0
KPI_1938,1948-11,350.0
KPI_1938,1948-12,364.0
KPI_1938,1949-01,363.0
KPI_1938,1949-02,362.0
KPI_1938,1949-03,361.0
KPI_1938,1949-04,362.0
KPI_1938,1949-05,362.0
KPI_1938,1949-06,416.0
KPI_1938,1949-07,415.0
KPI_1938,1949-08,414.0
KPI_1938,1949-09,419.0
KPI_1938,1949-10,419.0
KPI_1938,1949-11,463.0
KPI_1938,1949-12,471.0
KPI_1938,1950-01,463.0
KPI_1938,1950-02,450.0
KPI_1938,1950-03,441.0
KPI_1938,1950-04,442.0
KPI_1938,1950-05,442.0
KPI_1938,1950-06,445.0
KPI_1938,1950-07,450.0
KPI_1938,1950-08,450.0
KPI_1938,1950-09,458.0
KPI_1938,1950-10,497.0
KPI_1938,1950-11,502.0
KPI_1938,1950-12,506.0
KPI_1938,1951-01,509.0
KPI_1938,1951-02,518.0
KPI_1938,1951-03,527.0
KPI_1938,1951-04,536.0
KPI_1938,1951-05,546.0
KPI_1938,1951-06,556.0
KPI_1938,1951-07,608.0
KPI_1938,1951-08,633.0
KPI_1938,1951-09,643.0
KPI_1938,1951-10,661.0
KPI_1938,1951-11,658.0
KPI_1938,1951-12,668.0
KPI_1938,1952-01,667.0
KPI_1938,1952-02,665.0
KPI_1938,1952-03,663.0
KPI_1938,1952-04,662.0
KPI_1938,1952-05,668.0
KPI_1938,1952-06,669.0
KPI_1938,1952-07,670.0
KPI_1938,1952-08,671.0
KPI_1938,1952-09,673.0
KPI_1938,1952-10,675.0
KPI_1938,1952-11,672.0
KPI_1938,1952-12,671.0
KPI_1938,1953-01,670.0
KPI_1938,1953-02,670.0
KPI_1938,1953-03,665.0
KPI_1938,1953-04,660.0
KPI_1938,1953-05,654.0
KPI_1938,1953-06,659.0
KPI_1938,1953-07,658.0
KPI_1938,1953-08,661.0
KPI_1938,1953-09,665.0
KPI_1938,1953-10,667.0
KPI_1938,1953-11,667.0
KPI_1938,1953-12,667.0
KPI_1938,1954-01,672.0
KPI_1938,1954-02,673.0
KPI_1938,1954-03,669.0
KPI_1938,1954-04,672.0
KPI_1938,1954-05,675.0
KPI_1938,1954-06,684.0
KPI_1938,1954-07,686.0
KPI_1938,1954-08,684.0
KPI_1938,1954-09,686.0
KPI_1938,1954-10,687.0
KPI_1938,1954-11,690.0
KPI_1938,1954-12,691.0
KPI_1938,1955-01,693.0
KPI_1938,1955-02,689.0
KPI_1938,1955-03,687.0
KPI_1938,1955-04,685.0
KPI_1938,1955-05,685.0
KPI_1938,1955-06,694.0
KPI_1938,1955-07,694.0
KPI_1938,1955-08,699.0
KPI_1938,1955-09,712.0
KPI_1938,1955-10,712.0
KPI_1938,1955-11,713.0
KPI_1938,1955-12,713.0
KPI_1938,1956-01,712.0
KPI_1938,1956-02,710.0
KPI_1938,1956-03,713.0
KPI_1938,1956-04,708.0
KPI_1938,1956-05,708.0
KPI_1938,1956-06,716.0
KPI_1938,1956-07,713.0
KPI_1938,1956-08,717.0
KPI_1938,1956-09,719.0
KPI_1938,1956-10,732.0
KPI_1938,1956-11,735.0
KPI_1938,1956-12,737.0
KPI_1938,1957-01,745.0
KPI_1938,1957-02,741.0
KPI_1938,1957-03,738.0
KPI_1938,1957-04,739.0
KPI_1938,1957-05,741.0
KPI_1938,1957-06,746.0
KPI_1938,1957-07,753.0
KPI_1938,1957-08,751.0
KPI_1938,1957-09,750.0
KPI_1938,1957-10,752.0
KPI_1938,1957-11,751.0
KPI_1938,1957-12,751.0
KPI_1938,1958-01,750.0
KPI_1938,1958-02,749.0
KPI_1938,1958-03,747.0
KPI_1938,1958-04,745.0
KPI_1938,1958-05,746.0
KPI_1938,1958-06,763.0
KPI_1938,1958-07,760.0
KPI_1938,1958-08,758.0
KPI_1938,1958-09,760.0
KPI_1938,1958-10,761.0
KPI_1938,1958-11,761.0
KPI_1938,1958-12,760.0
KPI_1938,1959-01,762.0
KPI_1938,1959-02,760.0
KPI_1938,1959-03,748.2
KPI_1938,1959-04,753.5
KPI_1938,1959-05,760.3
KPI_1938,1959-06,783.7
KPI_1938,1959-07,776.1
KPI_1938,1959-08,767.1
KPI_1938,1959-09,764.8
KPI_1938,1959-10,764.8
KPI_1938,1959-11,773.9
KPI_1938,1959-12,771.6
KPI_1938,1960-01,770.9
KPI_1938,1960-02,771.6
KPI_1938,1960-03,773.9
KPI_1938,1960-04,777.7
KPI_1938,1960-05,784.4
KPI_1938,1960-06,792.0
KPI_1938,1960-07,790.5
KPI_1938,1960-08,785.2
KPI_1938,1960-09,775.4
KPI_1938,1960-10,771.6
KPI_1938,1960-11,773.9
KPI_1938,1960-12,773.9
KPI_1938,1961-01,783.7
KPI_1938,1961-02,786.7
KPI_1938,1961-03,788.2
KPI_1938,1961-04,792.0
KPI_1938,1961-05,797.3
KPI_1938,1961-06,818.4
KPI_1938,1961-07,816.2
KPI_1938,1961-08,810.9
KPI_1938,1961-09,806.3
KPI_1938,1961-10,807.1
KPI_1938,1961-11,815.4
KPI_1938,1961-12,816.2
KPI_1938,1962-01,823.7
KPI_1938,1962-02,825.2
KPI_1938,1962-03,831.3
KPI_1938,1962-04,843.3
KPI_1938,1962-05,853.9
KPI_1938,1962-06,875.8
KPI_1938,1962-07,859.2
KPI_1938,1962-08,842.6
KPI_1938,1962-09,842.6
KPI_1938,1962-10,835.8
KPI_1938,1962-11,835.8
KPI_1938,1962-12,837.3
KPI_1938,1963-01,845.6
KPI_1938,1963-02,857.7
KPI_1938,1963-03,861.5
KPI_1938,1963-04,863.7
KPI_1938,1963-05,870.5
KPI_1938,1963-06,888.6
KPI_1938,1963-07,874.3
KPI_1938,1963-08,856.9
KPI_1938,1963-09,867.5
KPI_1938,1963-10,861.5
KPI_1938,1963-11,872.0
KPI_1938,1963-12,874.3
KPI_1938,1964-01,883.4
KPI_1938,1964-02,884.9
KPI_1938,1964-03,884.1
KPI_1938,1964-04,889.4
KPI_1938,1964-05,897.7
KPI_1938,1964-06,917.3
KPI_1938,1964-07,921.9
KPI_1938,1964-08,903.0
KPI_1938,1964-09,900.7
KPI_1938,1964-10,899.2
KPI_1938,1964-11,905.2
KPI_1938,1964-12,905.2
KPI_1938,1965-01,909.0
KPI_1938,1965-02,907.5
KPI_1938,1965-03,913.6
KPI_1938,1965-04,919.6
KPI_1938,1965-05,947.5
KPI_1938,1965-06,1007.2
KPI_1938,1965-07,979.2
KPI_1938,1965-08,962.6
KPI_1938,1965-09,955.1
KPI_1938,1965-10,945.3
KPI_1938,1965-11,955.8
KPI_1938,1965-12,963.4
KPI_1938,1966-01,958.1
KPI_1938,1966-02,951.3
KPI_1938,1966-03,952.1
KPI_1938,1966-04,964.1
KPI_1938,1966-05,964.1
KPI_1938,1966-06,989.1
KPI_1938,1966-07,970.9
KPI_1938,1966-08,959.6
KPI_1938,1966-09,960.4
KPI_1938,1966-10,961.9
KPI_1938,1966-11,973.2
KPI_1938,1966-12,975.5
KPI_1938,1967-01,996.8
KPI_1938,1967-02,995.9
KPI_1938,1967-03,993.0
KPI_1938,1967-04,994.0
KPI_1938,1967-05,998.8
KPI_1938,1967-06,996.8
KPI_1938,1967-07,1003.6
KPI_1938,1967-08,1005.5
KPI_1938,1967-09,1012.3
KPI_1938,1967-10,1014.2
KPI_1938,1967-11,1014.2
KPI_1938,1967-12,1016.1
KPI_1938,1968-01,1017.1
KPI_1938,1968-02,1020.0
KPI_1938,1968-03,1023.9
KPI_1938,1968-04,1023.9
